Tstar,omega22,omega23,omega24
0.6,2.065,1.806,1.61
0.8,1.78,1.549,1.389
1,1.587,1.388,1.258
1.2,1.452,1.28,1.174
1.4,1.353,1.205,1.115
1.6,1.279,1.149,1.072
1.8,1.221,1.106,1.038
2,1.175,1.073,1.012
2.2,1.138,1.045,0.9895
2.4,1.107,1.022,0.971
2.6,1.081,1.002,0.9555
2.8,1.058,0.9935,0.9485
3,1.039,0.9708,0.9295
3.2,1.022,0.9578,0.9185
3.6,0.9932,0.9358,0.8995
4,0.97,0.9175,0.884
5,0.9269,0.8823,0.853
6,0.8963,0.8565,0.8295
8,0.8538,0.8193,0.7945
10,0.8242,0.7923,0.769
20,0.7432,0.716,0.695
40,0.6718,0.6475,0.6285
50,0.6504,0.6268,0.6085
